Word,Count
/,165
,58
the,48
to,34
if,33
</summary>,29
<summary>,29
a,27
not,25
for,18
|,17
and,16
=,16
dispatch,15
methods,14
</returns>,14
<returns>,14
of,13
is,13
TODO:,11
be,11
it,11
true,11
we,10
<param,9
</param>,9
false,9
or,8
chain,8
method,8
Add,8
\FOREGROUND_BLUE,\,8
Whether,7
information,7
FOREGROUND_INTENSITY,7
GameCore,7
event,7
in,7
here,7
client,7
when,6
node's,6
The,6
instance,6
FOREGROUND_RED,6
value,6
we're,6
ChainHelper,6
debug,5
message,5
system,5
with,5
use,5
an,5
null,4
set,4
just,4
race,4
from,4
\here,\,4
\FOREGROUND_GREEN,\,4
through,4
results,4
send,4
Virtual,4
as,4
nodes,4
against,4
FOREGROUND_GREEN,4
will,4
version,4
Base,4
all,4
logging,4
conditions,4
into,4
key,4
Marks,3
already,3
loop,3
used,3
process,3
NodeBase,3
at,3
Callback,3
game,3
destructor,3
our,3
have,3
this,3
If,3
been,3
clients,3
sender,3
got,3
lock,3
must,3
guard,3
can,3
Called,3
some,3
node,3
no,3
class,3
cleanup,3
along,3
valid,3
mechanism,3
but,3
Returns,3
Public,3
versions,2
connected,2
chains,2
\non-null,\,2
received,2
usage,2
else,2
meaning,2
consumable,2
\future,\,2
Generic,2
array,2
should,2
starting,2
hasn't,2
includes,2
we've,2
producing,2
allows,2
Server::ServerListener,2
resources,2
hotboot,2
state,2
Sends,2
restart,2
do,2
storage,2
Main,2
has,2
load,2
Libraries::GameLibrary,2
basic,2
connects,2
now,2
\stateful,\,2
identifier,2
A,2
\FOREGROUND_RED,\,2
allow,2
\name="\Dispatch"\>\,2
data,2
library,2
that,2
Ctor's,2
\[in,out]\,2
stuff,2
binary,2
provided,2
Server,2
base,2
Libraries::Library,2
let's,2
\fails,\,2
link,2
any,2
only,2
characters,2
there,2
Now,2
consumed,2
traversal,2
multiple,2
asked,2
Getters,2
\event,\,2
current,2
\name="\Sender"\>\,2
N2f::DispatchBase,2
\consumed,\,2
Abstract,2
may,2
list,2
were,2
Actions,2
Sets,2
Protected,2
\valid,\,2
number,2
type,2
routine,2
linked,2
so,2
\constructor,\,2
dtor,2
Destructor,2
log,2
Triggers,2
looking,2
result,1
cmd,1
\initializer,\,1
GREEN,1
need,1
HI,1
Not,1
processing,1
way,1
disconnects,1
members,1
what,1
FW,1
like,1
assume,1
try,1
main,1
\loop,\,1
Consumes,1
full,1
handle,1
Logging,1
Reloads,1
actually,1
on,1
\key,\,1
show,1
mean,1
Create,1
(this,1
\stop,\,1
SVC,1
players,1
error,1
SelectServer,1
Assign,1
{,1
IMPORTANT,1
one,1
suggests,1
initialization,1
without,1
Valid,1
Configuration,1
somehow,1
handling,1
communicate,1
Receives,1
finish,1
size,1
available,1
WinUser.h,1
program,1
CoreArbiter,1
\finally,\,1
GRAY,1
levels,1
go,1
category,1
disconnected,1
abort,1
up,1
DARKBLUE,1
almost,1
values,1
Logs,1
over,1
(can,1
clear,1
PUBLIC,1
Vector,1
BLACK,1
Provides,1
newline,1
\dispatch,\,1
FW::CoreArbiter,1
their,1
\0,\,1
doQuit,1
External,1
able,1
guarding,1
CYAN,1
total,1
Default,1
dump,1
reference,1
socket,1
N2f,1
know,1
orphaned,1
/PROTECTED,1
(it,1
};,1
results),1
\happens,\,1
\clients,\,1
acqu...I,1
useful,1
doOoc,1
(calculations,1
types/includes,1
MAGENTA,1
specification,1
given,1
configured),1
Check,1
nice,1
service,1
server,1
raise,1
debugging,1
BLUE,1
/PUBLIC,1
Internal,1
look,1
messages,1
contain,1
probably,1
Dtor,1
Tick,1
otherwise,1
There,1
Setup,1
work,1
supplied,1
ForgottenWar::CoreArbiter,1
\name="\DoDebug"\>\,1
http://msdn.microsoft.com/en-us/library/windows/desktop/ms682608(v=vs.85).aspx,1
\name="\Version"\>\,1
done-done,1
security,1
non-event,1
return,1
started,1
start,1
\name="\IsEvent"\>\,1
directive,1
conflict,1
copy,1
new,1
delta,1
DARKRED,1
\overloaded,\,1
instead,1
Can,1
problem),1
Ok,1
Standard,1
things,1
collect,1
strings,1
restoring,1
connections,1
exit,1
librarian,1
macros,1
intended,1
GetMessage,1
logs,1
Should,1
interact,1
Ctor,1
external,1
custom,1
SPECIAL,1
perhaps,1
Utility,1
RED,1
signaled,1
services,1
PROTECTED,1
sent,1
was,1
carry,1
Helpers,1
\name="\Node"\>\,1
'core',1
\hotBoot,\,1
shared,1
it's,1
by,1
Logger,1
fails,1
could,1
descriptor,1
setup,1
DARKGRAY,1
passively,1
rwhen,1
DARKCYAN,1
ctor,1
DARKGREEN,1
fashion,1
\implemented,\,1
dispatches,1
DARKYELLOW,1
TRIGGERED,1
Mapping,1
doWho,1
timing...thing,1
want,1
maybe,1
being,1
GetMessageA,1
UBER,1
\failed,\,1
ending,1
DARKMAGENTA,1
To,1
time,1
accept,1
back,1
em,1
aka,1
lpszStrings,1
#define,1
based),1
WHITE,1
MSFT,1
possible,1
more,1
Threading,1
these,1
both,1
are,1
intercepted,1
config,1
Will,1
traversals,1
password,1
between,1
\FOREGROUND_INTENSITY,\,1
Basic,1
stateful,1
player,1
\reporting,\,1
orderly,1
close,1
logger,1
Links,1
fo,1
everyone,1
\information,\,1
DLL,1
except,1
determined,1
\version,\,1
Library,1
classes,1
enum,1
\consumable,\,1
This,1
Method,1
statuses,1
exception,1
kill,1
receive,1
MOM,1
first,1
https://msdn.microsoft.com/en-us/library/bb540475%28v=vs.85%29.aspx,1
\timeout,\,1
\name="\Key"\>\,1
YELLOW,1
notify,1
always,1
