File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\CommonCore.h,92,68,31,1,15,0,9,36,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\ServerMessage.h,27,21,14,0,6,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Common\Types.h,67,50,26,0,17,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Libraries\Librarian.h,181,137,85,18,44,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Libraries\Library.h,24,20,8,1,4,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Logging\AppenderBase.h,27,21,11,0,6,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Logging\ConsoleAppender.h,41,33,12,0,8,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Logging\FileAppender.h,37,29,16,0,8,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Logging\LogData.h,37,31,17,0,6,1,0,12,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Logging\Logger.h,71,52,37,0,19,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Logging\LogWorker.h,46,35,23,0,11,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\N2f\N2f.h,9,4,0,0,3,0,2,3,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\N2f\BaseClasses\DispatchBase.h,102,23,16,0,16,0,63,296,0,0
